Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
248,213,54,168,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",Internet Service (S),Inspur,China,2019,Industry,"45,152","43,520","1,975.00","4,010.48","1,367,000",,,,,,Cluster,Xeon Gold 6146 12C 3.2GHz,Intel Skylake,"3,200",Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Infiniband,Infiniband EDR,Asia,"50,817",179762
249,214,54,169,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, 25G Ethernet",Service Provider T,Inspur,China,2019,Industry,"45,152","43,520","1,975.00","4,010.48","1,367,000",,,,,,Cluster,Xeon Gold 6146 12C 3.2GHz,Intel Skylake,"3,200",Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179764
250,215,54,170,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, 25G Ethernet",Service Provider T,Inspur,China,2019,Industry,"45,152","43,520","1,975.00","4,010.48","1,367,000",,,,,,Cluster,Xeon Gold 6146 12C 3.2GHz,Intel Skylake,"3,200",Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179765
251,216,48,266,Mogon II,"NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path",Universitaet Mainz,NEC/MEGWARE,Germany,2017,Academic,"49,432",,"1,967.81","2,800.87","3,179,520","888,000",,657.00,Submitted,3.00,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,NEC Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Europe,"49,102",178930
252,217,48,157,Biowulf,"Apollo 2000 Gen 8/9, Xeon E5-2680v4/E5-2695v3 14C 2.4GHz, Infiniband FDR",National Institutes of Health (NIH),HPE,United States,2016,Research,"66,304",,"1,966.08","2,491.37","4,260,672",,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Apollo 2000,HP Apollo,Infiniband,Infiniband FDR,North America,"50,698",179027
253,218,54,173,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 25G Ethernet, NVIDIA Tesla V100",Energy Company,Sugon,China,2019,Industry,"41,280","38,400","1,963.00","3,603.46","487,000",,,245.00,Submitted,8.01,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,417",179783
254,219,54,174,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",Telecom Company,Sugon,China,2019,Industry,"47,600",,"1,955.00","3,960.32","3,744,000",,,650.00,Submitted,3.01,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,591",179784
255,220,54,175,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",State Grid Corp,Sugon,China,2019,Industry,"53,280",,"1,952.00","3,921.41","3,494,000",,,570.00,Submitted,3.42,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,610",179786
256,221,54,176,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",IT Service Provider,Sugon,China,2019,Industry,"58,112",,"1,934.00","3,905.13","3,870,000",,,630.00,Submitted,3.07,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,741",179736
257,222,46,35,,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Japan Atomic Energy Agency (JAEA),HPE,Japan,2015,Research,"60,240",,"1,929.37","2,409.60","3,852,288",,,"3,012.00",Submitted,0.64,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Asia,"50,306",178671
258,223,55,223,,"Inspur NF5468M5, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Bank (J),Inspur,China,2020,Industry,"51,504","47,360","1,928.00","4,618.00","1,421,000",,,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",Linux,Linux,NVIDIA Tesla V100,14,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,835",179839
259,224,52,102,CTcluster,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2018,Industry,"54,000",,"1,928.00","3,974.40","4,093,000",,,520.00,Submitted,3.71,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,591",179535
260,225,53,136,Amazon EC2 C5 Instance cluster us-east-1a,"Amazon EC2 Instance Cluster C5, Xeon Platinum 8124M 18C 3GHz, 25G Ethernet",Descartes Labs,Amazon Web Services,United States,2018,Industry,"41,472",,"1,926.40","3,981.31","2,985,984",,,,,,Cluster,Xeon Platinum 8124M 18C 3GHz,Intel Skylake,"3,000",Amazon Linux 2,Linux,None,18,Xeon Platinum,Amazon EC2 Instance Cluster C5,Amazon EC2,Gigabit Ethernet,25G Ethernet,North America,"50,808",179693
261,226,54,180,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Internet Company,Inspur,China,2017,Industry,"40,320","38,400","1,921.00","3,520.51","1,284,000",,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur TS10000,Inspur Cluster,Infiniband,Infiniband EDR,Asia,"50,743",179795
262,227,54,181,,"ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet",Financial Company P,Lenovo,China,2019,Industry,"57,200",,"1,914.59","3,660.80","5,239,680",,,,,,Cluster,Xeon Gold 6138 20C 2GHz,Intel Skylake,"2,000",Linux,Linux,None,20,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,795",179745
263,228,52,103,,"Huawei 2288H V5, Xeon Gold 6150 18C 2.7GHz, 10G Ethernet",Energy Company,Huawei,China,2018,Industry,"49,680",,"1,914.38","4,292.35","4,569,600",,,732.78,Submitted,2.61,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,Huawei 2288H V5,Huawei Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,417",179595
264,229,54,183,,"ThinkSystem SR650, Xeon E5-2698v3 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,"86,400",,"1,905.48","3,179.52","7,200,000",,,,,,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Linux,Linux,None,16,Intel Xeon E5 (Haswell),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,787",179743
265,230,54,184,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,"46,200",,"1,901.00","3,843.84","3,689,000",,,630.00,Submitted,3.02,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,787",179734
266,231,44,57,Piz Daint Multicore,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",Swiss National Supercomputing Centre (CSCS),Cray/HPE,Switzerland,2016,Research,"65,268",,"1,896.75","2,193.01","3,711,744",,,732.40,Submitted,2.59,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"50,422",178451
267,232,54,186,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,"56,800",,"1,896.00","3,816.96","4,686,000",,,625.00,Submitted,3.03,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,761",179737
268,233,53,139,A1,"Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"47,040",,"1,882.56","3,612.67","4,751,616",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179660
269,234,54,188,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet",Internet Service (B),Inspur,China,2018,Industry,"173,680","166,400","1,872.00","15,162.37","1,337,000",,,,,,Cluster,Xeon Gold 5117 14C 2GHz,Intel Skylake,"2,000",CentOS,Linux,NVIDIA Tesla V100,14,Xeon Gold,INSPUR SA5212M5,Inspur Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,330",179790
270,235,54,189,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service P,Inspur,China,2018,Industry,"40,320","38,400","1,872.00","3,520.51","1,284,000",,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur TS10000,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,759",179791
271,236,47,45,Tera-1000-1,"bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR",Commissariat a l'Energie Atomique (CEA),Atos,France,2016,Research,"70,272",,"1,871.00","2,586.01","4,263,552",,35.19,"1,042.00",Submitted,1.80,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Bullx Linux,Linux,None,16,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"47,593",178790
272,,56,272,,"HPE SGI 8600, Xeon Gold 6242R 20C 3.1GHz, Infiniband EDR",Japan Atomic Energy Agency (JAEA),HPE,Japan,2020,Research,"28,240",,"1,870.73","2,801.41","2,707,200",,31.31,,,,Cluster,Xeon Gold 6242R 20C 3.1GHz,Intel Cascade lake,"3,100",RHEL 7.8,Linux,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,Asia,"50,306",179876
273,237,54,191,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,"44,000",,"1,861.37","3,520.00","4,595,712",,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,787",179752
274,238,54,192,,"Inspur NF5468M5, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service P,Inspur,China,2019,Industry,"46,480","44,800","1,854.00","4,080.05","1,387,000",,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,759",179793
275,239,55,239,,"Inspur TS10000, Xeon Gold 6248 20C 2.5GHz/Platinum 8268 24C 2.9GHz, NVIDIA Tesla V100, 100G Ethernet",Nanjing University,Inspur,China,2020,Academic,"37,440","35,200","1,853.00","3,432.00","1,230,000",,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Inspur TS10000,Inspur Cluster,Gigabit Ethernet,100G Ethernet,Asia,"50,251",179828
276,240,54,193,Santos Dumont (SDumont),"Bull Sequana X1000, Xeon Gold 6252 24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",Laboratório Nacional de Computação Científica,Atos,Brazil,2019,Academic,"33,856","29,440","1,849.00","2,727.03","1,257,024",,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",bullx SCS,Linux,NVIDIA Tesla V100 SXM2,24,Xeon Gold 62xx (Cascade Lake),BullSequana X1000,BullSequana,Infiniband,Mellanox InfiniBand EDR,South America,"50,576",179704
277,,56,277,Phoenix,"Relion XE2142/XE1114GT, Intel Xeon Gold 6226 12C 2.7GHz, NVIDIA Tesla V100, Mellanox InfiniBand HDR100",Georgia Institute of Technology,Penguin Computing,United States,2020,Research,"31,104",,"1,840.89","2,687.39","3,165,312",,,,,,Cluster,Intel Xeon Gold 6226 12C 2.7GHz,Intel Cascade lake,"2,700",Redhat Enterprise Linux 6,Linux,None,12,Xeon Gold 62xx (Cascade Lake),Relion XE1114GT,Penguin Computing Cluster,Infiniband,Mellanox InfiniBand HDR100,North America,"47,935",179906
278,241,53,141,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,"55,040",,"1,838.00","3,698.69","4,613,000",,,600.00,Submitted,3.06,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,743",179670
279,242,54,196,,"ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,"83,200",,"1,835.52","6,123.52","7,065,600",,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold,ThinkSystem SR570,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,787",179744
280,243,54,197,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,"48,000",,"1,833.00","3,686.40","3,146,000",,,470.00,Submitted,3.90,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,787",179733
281,244,52,204,Astra,"Apollo 70, Marvell ThunderX2 ARM CN9975-2000 28C 2GHz, 4xEDR Infiniband",Sandia National Laboratories,HPE,United States,2018,Research,"143,640",,"1,833.00","2,298.24","5,220,096",,90.90,"1,192.54",Submitted,1.54,Cluster,Marvell ThunderX2 CN9975-2000 28C 2GHz,ThunderX2,"2,000",Tri-Lab Operating System,Linux,None,28,Marvell ThunderX2,Apollo 70,HP Apollo,Infiniband,4xEDR Infiniband,North America,"48,748",179565
282,245,54,199,,"Sugon TC6000, Xeon Gold 5117 14C 2GHz, 25G Ethernet",Internet Service (B),Sugon,China,2019,Industry,"116,200",,"1,832.00","7,436.80","5,758,000",,,"1,300.00",Submitted,1.41,Cluster,Xeon Gold 5117 14C 2GHz,Intel Skylake,"2,000",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,330",179738
283,246,52,106,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2018,Industry,"43,200",,"1,831.49","3,456.00","4,553,664",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179474
284,247,50,85,scafellpike,"Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDR",Science and Technology Facilities Council,Atos,United Kingdom,2017,Research,"80,640",,"1,829.86","4,329.73","4,162,560",,,529.00,Submitted,3.46,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,"1,300",bullx SCS,Linux,None,64,Intel Xeon Phi,BullSequana X1000,BullSequana,Infiniband,Infiniband EDR,Europe,"50,732",179163
285,248,53,145,,"ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet, NVIDIA Tesla P100",Financial Company P,Lenovo,China,2019,Industry,"66,080","35,840","1,828.02","4,981.76","3,810,048",,,,,,Cluster,Xeon Gold 6138 20C 2GHz,Intel Skylake,"2,000",Linux,Linux,NVIDIA Tesla P100,20,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,795",179694
286,249,52,108,JGV100System,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,"41,760","38,400","1,825.00","3,353.18","908,000",,,240.00,Submitted,7.60,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",CentOS,Linux,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,598",179555
287,250,54,204,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet",IT Service Provider,Sugon,China,2019,Industry,"44,100",,"1,824.00","3,669.12","3,604,000",,,600.00,Submitted,3.04,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,709",179735
288,251,54,205,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet",Internet Service (B),Inspur,China,2018,Industry,"48,880","41,600","1,820.00","4,140.03","1,337,000",,,,,,Cluster,Xeon Gold 5117 14C 2GHz,Intel Skylake,"2,000",CentOS,Linux,NVIDIA Tesla V100,14,Xeon Gold,INSPUR SA5212M5,Inspur Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,330",179788
289,252,54,206,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet",Internet Service (B),Inspur,China,2018,Industry,"48,880","41,600","1,820.00","4,140.03","1,337,000",,,,,,Cluster,Xeon Gold 5117 14C 2GHz,Intel Skylake,"2,000",CentOS,Linux,NVIDIA Tesla V100,14,Xeon Gold,INSPUR SA5212M5,Inspur Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,330",179789
290,253,54,207,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Government Agency (S),Sugon,China,2019,Government,"54,240",,"1,815.00","3,644.93","4,626,000",,,600.00,Submitted,3.03,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,824",179787
291,254,54,208,szaisystem,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Infiniband EDR",Suzhou SC center,Sugon,China,2019,Industry,"30,600","27,200","1,814.00","2,674.10","824,000",,,180.00,Submitted,10.08,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",CentOS,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"50,812",179713
292,255,53,147,Bank P A2,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Financial Company P,Lenovo,China,2019,Industry,"36,000","24,000","1,809.34","3,021.60","2,400,000",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,NVIDIA Tesla V100,20,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,795",179648
293,256,53,148,Bank P A2,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Financial Company P,Lenovo,China,2019,Industry,"36,000","24,000","1,809.34","3,021.60","2,400,000",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,NVIDIA Tesla V100,20,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,795",179659
294,257,52,109,JCSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,"110,080",,"1,807.00","3,698.69","6,432,000",,,"1,100.00",Submitted,1.64,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,"2,100",Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,598",179543
295,258,52,110,S1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"33,840",,"1,804.00","2,923.78","4,248,384",,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179581
296,259,44,33,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect",KTH - Royal Institute of Technology,Cray/HPE,Sweden,2017,Academic,"67,456",,"1,802.51","2,438.14","3,932,160",,,842.00,Submitted,2.14,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"48,188",178448
297,260,52,112,ESSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",State Grid Corp,Sugon,China,2018,Industry,"105,000",,"1,790.00","3,696.00","7,657,000",,,"1,100.00",Submitted,1.63,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,610",179546
298,261,50,71,Molecular Simulator,"NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-Path",Institute for Molecular Science,NEC,Japan,2017,Research,"38,552",,"1,785.62","3,072.77","2,649,984",,,544.48,Submitted,3.28,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,NEC LX Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Asia,"48,473",179173
299,262,52,114,R1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"33,120",,"1,768.59","2,861.57","4,202,880",,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179580
300,263,54,217,,"ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,"80,000",,"1,765.81","5,888.00","6,928,128",,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold,ThinkSystem SR570,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,787",179757
301,264,53,155,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,"99,360",,"1,765.00","7,312.90","5,843,000",,,"1,320.00",Submitted,1.34,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179676
302,265,54,219,POD3,"Huawei Cluster, Xeon Gold 6148 20C 2.4GHz, Infiniband",Group 42,Huawei,United Arab Emirates,2019,Industry,"34,800",,"1,756.75","2,672.64","5,145,600",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,Huawei Cluster,Huawei Cluster,Infiniband,Infiniband,Asia,"50,813",179715
303,266,49,66,QURIOSITY,"Apollo XL230k, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",BASF,HPE,Germany,2017,Industry,"35,280",,"1,750.18","2,709.50","4,264,320",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,Apollo 6000 XL230k,HP Apollo,Omnipath,Intel Omni-Path,Europe,"47,379",179110
304,267,54,221,CARA,"NEC LX Cluster, AMD Epyc 7601 32C 2.2GHz, Infiniband HDR",German Aerospace Center,NEC,Germany,2019,Research,"145,920",,"1,746.00","2,568.19","5,483,088",,,,,,Cluster,AMD Epyc 7601 32C 2.2GHz,AMD Zen (Naples),"2,200",Linux,Linux,None,32,AMD Naples,NEC LX Cluster,NEC Cluster,Infiniband,Infiniband HDR,Europe,"50,821",179779
305,268,54,222,,"ThinkSystem SR590, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,"2,312,800",,"1,741.02","81,410.56","7,526,016",,,,,,Cluster,Xeon E7-4850V3 14C 2.2GHz,Intel Haswell,"2,200",Linux,Linux,None,14,Intel Xeon E7 (Haswell-Ex),ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,787",179753
